Location,Interest area,Title,Description,Start time,End time,Session type,Event code
"Bldg dd, REACH, Room dd2.101",Sport,Exercise and sport science,Description details coming soon,10:00 AM,10:30 AM,Course information session,WP-001
"Bldg dd, REACH, Room dd4.101",,Deakin's Elite Athlete Program,Description details coming soon,10:00 AM,10:30 AM,General information session,WP-002
"Bldg ia, Room ia1.006, Peter Thwaites Lecture Theatre",Sciences,Science,Description details coming soon,10:00 AM,10:30 AM,Course information session,WP-003
"Bldg ib, Level 3",,Writing and literature hub - The Poescope,Description details coming soon,11:30 AM,1:00 PM,Experience,WP-004
"Bldg ib, Room ib3.004",,Pathways to Deakin,Description details coming soon,10:00 AM,10:30 AM,General information session,WP-005
"Bldg ib, Room ib3.232",Media communication and creative arts,"Communications - journalism, public relations and digital media",Description details coming soon,9:30 AM,10:30 AM,Course information session,WP-006
"Bldg ib, Room ib4.004",,Journalism student showcase,Description details coming soon,10:30 AM,11:00 AM,"Course information session, Experience",WP-007
"Bldg ib, Room ib4.103",Education and teaching,Early years education,Description details coming soon,11:30 AM,12:00 PM,Course information session,WP-008
"Bldg ib, Rooms ib4.205 and ib4.206",Education and teaching,Master of Teaching,Description details coming soon,10:30 AM,11:00 AM,Course information session,WP-009
"Bldg jb, Room jb1.102",,Building employability skills for the jobs of the future,Description details coming soon,11:00 AM,12:00 PM,General information session,WP-010
"Bldg JC, Level 2",,Take a library tour,Description details coming soon,9:00 AM,3:00 PM,Tour,WP-011
"Bldg ka, ka3.103, Foyer",Sciences,Maggot racing,Description details coming soon,9:00 AM,3:00 PM,Experience,WP-012
"Bldg ka, Room ka3.103",Sciences,Science laboratories display,Description details coming soon,9:00 AM,3:00 PM,Tour,WP-013
"Bldg ka, Room ka3.110",Sciences,A day of ice and fire,Description details coming soon,10:00 AM,2:00 PM,Experience,WP-014
"Bldg ka, Room ka3.202",Sciences,"Zoology, reptile and amphibian display",Description details coming soon,9:00 AM,3:00 PM,Experience,WP-015
"Bldg ka, Room ka3.403",Sciences,Zoology and animal science,Description details coming soon,10:30 AM,11:00 AM,Course information session,WP-016
"Bldg ka, Room ka3.406",,Discover Deakin,Description details coming soon,9:30 AM,10:00 AM,General information session,WP-017
"Bldg ka, Room ka3.410",Information technology,IT showcase,Description details coming soon,9:00 AM,2:00 PM,Experience,WP-018
"Bldg ka, Room ka3.411",Information technology,"Information Technology - cyber security, cloud computing, VR and creative technologies",Description details coming soon,9:30 AM,10:00 AM,Course information session,WP-019
"Bldg kc, Institute of Koorie Education",,Institute of Koorie Education,Description details coming soon,9:00 AM,3:00 PM,Experience,WP-020
"Bldg kc, Institute of Koorie Education, Room kc2.203",Humanities social sciences and languages,International studies and work-integrated learning,Description details coming soon,10:00 AM,10:30 AM,Course information session,WP-021
"Bldg kc, Room kc1.101",Engineering,Environmental and civil engineering experience,Description details coming soon,9:00 AM,3:00 PM,Experience,WP-022
"Bldg ke, CADET",Engineering,Engineering experience,Description details coming soon,9:00 AM,3:00 PM,Experience,WP-023
"Bldg ke, CADET, Room ke1.207",Engineering,Engineering - now and in the future,Description details coming soon,11:00 AM,11:30 AM,Course information session,WP-024
Career and Course Information Centre,Sciences,Crime scene house,Description details coming soon,9:00 AM,3:00 PM,Tour,WP-025
Central Precinct/Kings Way,Environment,"Yolla, our marine research vessel",Description details coming soon,9:00 AM,3:00 PM,Experience,WP-026
Departing from the campus tours location,Health sciences and allied health,Medical imaging lab tour,Description details coming soon,9:00 AM,3:00 PM,"Experience, Tour",WP-027
Union Green,Media communication and creative arts,Win with Deakin,Description details coming soon,9:00 AM,3:00 PM,Experience,WP-028
